Fabricante;Modelo;Ano;Problema;Causa;Solucao;Orcamento;Categoria do Problema;Gravidade do Problema;Tempo Estimado de Reparo
Subaru;Silverado;2012;Código de advertência de falha de ignição do motor P0352;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Compressor de ar condicionado (A/C) substituído ou sensor de fluxo do compressor de ar condicionado (A/C) substituído;396;Direção;Alta;4 horas
Volvo;XJ 3.0;2020;Sem energia, bateria descarregada;Compressor de ar condicionado (A/C);Troca dos amortecedores;2206;Transmissão;Crítica;4 horas
Chevrolet;ES350;2010;Direo pesada;Procedimento de reinicializao do lembrete de manuteno somente para informaes;Substituio do solenide/vlvula de ventilao do canister de emisses evaporativas (EVAP)  Substituio da vlvula de controle de purga do canister  Substituio da bomba de combustvel;2061;Sistema de Arrefecimento;Média;1 dia
Acura;Santa Fe;2010;Freios falhando;A velocidade do motor excedeu 200 RPM acima da velocidade de marcha lenta desejada;Substituio do compressor de ar;829;Sistema de Arrefecimento;Crítica;4 horas
Mitsubishi;RLX;2017;Cdigo de advertncia P2096.;Desgaste nas pastilhas de freio;Compressor de ar condicionado (A/C) substituído ou sensor de fluxo do compressor de ar condicionado (A/C) substituído;1749;Elétrico;Crítica;3 dias
Infiniti;X3;2020;Baixo consumo de energia;Procedimento de reinicializao do lembrete de manuteno somente para informaes;Compressor de ar condicionado (A/C) substitudo ou sensor de fluxo do compressor de ar condicionado (A/C) substitudo;1764;Freios;Crítica;1 semana
Honda;A4;2019;Bateria no est sendo carregada pelo alternador.;Procedimento de reinicializao do lembrete de manuteno somente para informaes;Substituio do sensor de oxignio;507;Sistema de Arrefecimento;Média;2 dias
Volkswagen;Cruze;2021;Luz do motor acesa;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Substituio do solenide/vlvula de ventilao do canister de emisses evaporativas (EVAP)  Substituio da vlvula de controle de purga do canister  Substituio da bomba de combustvel;396;Suspensão;Média;4 horas
Acura;F-150;2019;Ar condicionado no est gelando;Compressor de ar condicionado (A/C);Conjunto do monitor de integridade do sistema evaporativo (ESIM) substitudo/reparado/conectado  Tampa do bocal de abastecimento de combustvel substituda/apertada/reparada;2129;Sistema de Arrefecimento;Média;1 dia
Nissan;Accord;2015;Luz do motor acesa;Radiador entupido;Procedimento de aprendizagem do volume de ar em marcha lenta realizado/substitudo  Corpo do acelerador substitudo/limpo  Procedimento de aprendizagem da posio de liberao do pedal do acelerador realizado e Procedimento de aprendizagem do volume de ar em marcha lenta realizado;377;Motor;Crítica;1 dia
Chevrolet;Altima;2015;Ar condicionado não está gelando;Falha no conversor de torque;Substituiu o motor de arranque ou consertou a emenda J308;1512;Freios;Média;4 horas
Cadillac;Focus;2021;Superaquecimento do motor;Amortecedores desgastados;Reparo no conversor de torque;1843;Suspensão;Média;4 horas
Chevrolet;Wrangler;2019; necessrio redefinir o ciclo de conduo do monitor DTC;Procedimento de reinicializao do lembrete de manuteno somente para informaes;Procedimento de reinicializao do lembrete de manuteno realizada/redefinida;1351;Elétrico;Média;4 horas
Buick;Outback;2020;Sem aquecimento;Passagens de lquido de arrefecimento obstrudas  Termostato de lquido de arrefecimento com defeito  Lquido de arrefecimento do motor contaminado  Ncleo do aquecedor obstrudo  Bomba de gua com defeito;Substituio do solenide/vlvula de ventilao do canister de emisses evaporativas (EVAP)  Substituio da vlvula de controle de purga do canister  Substituio da bomba de combustvel;463;Sistema de Escape;Média;4 horas
Ford;Camry;2015;Bateria no est sendo carregada pelo alternador.;Falha no sensor de airbags;Ncleo do aquecedor substitudo/limpo/consertado/sangrado  Procedimento de lavagem do sistema de arrefecimento;749;Elétrico;Média;3 dias
Nissan;3;2015;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;Motor do atuador da porta de mistura  Eixo da porta de mistura  Fluxo do lquido de arrefecimento  Termostato do lquido de arrefecimento do motor  Ncleo do aquecedor  Cabea de controle do ar condicionado de ventilao do aquecedor (HVAC);Ncleo do aquecedor substitudo/limpo/consertado/sangrado  Procedimento de lavagem do sistema de arrefecimento;950;Sistema de Escape;Média;1 semana
Buick;RLX;2015;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;A velocidade do motor excedeu 200 RPM acima da velocidade de marcha lenta desejada;Substitudos/reposicionados ambos os sensores de nvel de combustvel, substitudo conjunto de bomba de combustvel/unidade de envio;1830;Transmissão;Crítica;4 horas
Toyota;Cruze;2017;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;Alternador  Alternador/Regulador de voltagem interno com defeito  Fiao do alternador  Caixa de fusveis auxiliares da bateria;Substituio do solenide/vlvula de ventilao do canister de emisses evaporativas (EVAP)  Substituio da vlvula de controle de purga do canister  Substituio da bomba de combustvel;2129;Freios;Média;4 horas
Jeep;Accord;2021;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Mdulo de controle de transmisso (TCM) e/ou chicote eltrico;Ncleo do aquecedor substitudo/lavado/limpo ou motor do atuador da porta de mistura substitudo/conectado/reiniciado/reparado ou procedimento de lavagem do sistema de arrefecimento realizado;903;Sistema de Escape;Média;4 horas
Toyota;RLX;2019;Marcha lenta irregular  falha de ignio do motor. Cdigo de advertncia P0014;Circuito do ventilador com defeito impedindo que o ventilador esfrie o motor;Procedimento de reinicializao do lembrete de manuteno realizada/redefinida;2187;Sistema de Escape;Média;1 dia
Subaru;Eclipse;2019;Indicador de nvel de combustvel irregular, medidor de combustvel no funciona;Sensores de nvel de combustvel;Sensor de relao ar/combustvel (A/F) substitudo/apertado  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 1 (B1S1)  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 2 (B1S2);1912;Freios;Média;1 dia
GMC;XJ 3.0;2019;Superaquecimento do motor;Circuito do ventilador com defeito impedindo que o ventilador esfrie o motor;Procedimento de aprendizagem do volume de ar em marcha lenta realizado/substitudo  Corpo do acelerador substitudo/limpo  Procedimento de aprendizagem da posio de liberao do pedal do acelerador realizado e Procedimento de aprendizagem do volume de ar em marcha lenta realizado;1512;Sistema de Arrefecimento;Crítica;1 dia
Volkswagen;3;2018;Sem energia, bateria descarregada;Radiador entupido;Substituir sensor de posio do virabrequim (CKP)  Substituir/programar chave imobilizadora  Substituir correia dentada;517;Motor;Média;4 horas
Cadillac;Accord;2019;Código de advertência de falha de ignição do motor P0352;Bateria com baixa carga;Vlvula de controle de tempo de vlvula de escape substituda  leo/filtro do motor substitudo;955;Motor;Crítica;4 horas
BMW;Eclipse;2021;Suspenso com rudos;Fluido de transmisso automtica  Bobina(s) de ignio  Vela(s) de ignio  Pistes do balancim de controle de elevao de tempo varivel (VTEC)  Molas do balancim de controle de elevao de tempo varivel (VTEC);Reparo na transmisso;2222;Freios;Média;4 horas
Toyota;Altima;2016;Ar condicionado não está gelando;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Compressor de ar condicionado (A/C) substitudo ou sensor de fluxo do compressor de ar condicionado (A/C) substitudo;1073;Sistema de Arrefecimento;Média;4 horas
Honda;RLX;2018;Bateria descarregada;Radiador entupido;Ncleo do aquecedor substitudo/lavado/limpo ou motor do atuador da porta de mistura substitudo/conectado/reiniciado/reparado ou procedimento de lavagem do sistema de arrefecimento realizado;1520;Sistema de Arrefecimento;Crítica;4 horas
Infiniti;F-150;2016;Tremores do motor;Alternador  Alternador/Regulador de voltagem interno com defeito  Fiao do alternador  Caixa de fusveis auxiliares da bateria;Ncleo do aquecedor substitudo/lavado/limpo ou motor do atuador da porta de mistura substitudo/conectado/reiniciado/reparado ou procedimento de lavagem do sistema de arrefecimento realizado;1749;Suspensão;Média;1 dia
BMW;Ram 1500;2020;Cdigo de advertncia de falha de ignio do motor P0352;Bomba da direo hidrulica com defeito;Substituio do sensor de oxignio;630;Transmissão;Média;1 dia
Lexus;Sierra;2018;Marcha lenta irregular  falha de ignio do motor. Cdigo de advertncia P0014;Falha no sensor de airbags;Fluido de transmisso automtica substitudo/lavado;1212;Sistema de Escape;Média;1 dia
Jeep;RLX;2019;Motor superaquecendo;Sensor de oxignio com defeito;Bobina(s) de ignio substituda(s)/reparada(s)  Bobina(s) de ignio substituda(s) e vela(s) de ignio substituda(s)/reaprendida(s);2084;Suspensão;Média;4 horas
Mercedes;Altima;2012;Cmbio travado;Alternador  Alternador/Regulador de voltagem interno com defeito  Fiao do alternador  Caixa de fusveis auxiliares da bateria;Limpeza do radiador;303;Sistema de Arrefecimento;Média;4 horas
Honda;XJ 3.0;2010;Ar condicionado não está gelando;Falha na operao de carga parcial da vlvula de ventilao do crter.;Substituio do compressor de ar;1624;Motor;Média;4 horas
Toyota;Encore;2020;Tremores do motor;Circuito do ventilador com defeito impedindo que o ventilador esfrie o motor;Limpeza do radiador;749;Sistema de Escape;Média;1 dia
Mercedes;F-150;2017;Baixo consumo de energia;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Substituiu o motor de arranque ou consertou a emenda J308;1149;Freios;Média;1 dia
Dodge Ram;Jetta;2021;Suspenso com rudos;Mdulo de controle de transmisso (TCM) e/ou chicote eltrico;Bobina(s) de ignio substituda(s)/reparada(s)  Bobina(s) de ignio substituda(s) e vela(s) de ignio substituda(s)/reaprendida(s);1316;Transmissão;Crítica;4 horas
Mercedes;ES350;2016;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Bobina de ignição com falha;Compressor de ar condicionado (A/C) substitudo ou sensor de fluxo do compressor de ar condicionado (A/C) substitudo;1025;Sistema de Arrefecimento;Média;3 dias
Chevrolet;X3;2015;O motor est funcionando com pouca potncia.;Compressor de ar defeituoso;Troca dos amortecedores;749;Motor;Baixa;1 dia
Chevrolet;Infiniti FX35;2016;Tremores do motor;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Troca da bateria;303;Sistema de Escape;Média;4 horas
Hyundai;A4;2010;Baixo consumo de energia;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Reparo na transmisso;517;Direção;Média;2 dias
Nissan;XC60;2015;Sem aquecimento;Sensor de oxignio com defeito;Substituio do sensor de airbags;1743;Sistema de Arrefecimento;Média;3 dias
Cadillac;Eclipse;2019;Motor superaquecendo;Desgaste nas pastilhas de freio;Substituição do solenóide/válvula de ventilação do canister de emissões evaporativas (EVAP)  Substituição da válvula de controle de purga do canister  Substituição da bomba de combustível;328;Sistema de Escape;Média;1 dia
Chrysler;Escalade;2019;Baixo consumo de energia;Compressor de ar defeituoso;Ncleo do aquecedor substitudo/limpo/consertado/sangrado  Procedimento de lavagem do sistema de arrefecimento;1834;Transmissão;Média;1 dia
Audi;Focus;2017;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;Sistema de admisso de ar restrito  Sistema de exausto restrito  Turbocompressor com falha;Vlvula de controle de tempo de vlvula de escape substituda  leo/filtro do motor substitudo;492;Freios;Média;1 semana
BMW;Infiniti FX35;2016;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;A velocidade do motor excedeu 200 RPM acima da velocidade de marcha lenta desejada;Conjunto do monitor de integridade do sistema evaporativo (ESIM) substitudo/reparado/conectado  Tampa do bocal de abastecimento de combustvel substituda/apertada/reparada;1944;Elétrico;Média;3 dias
BMW;A4;2021;Luz do motor acesa;Mdulo de controle de transmisso (TCM) e/ou chicote eltrico;Compressor de ar condicionado (A/C) substitudo ou sensor de fluxo do compressor de ar condicionado (A/C) substitudo;1041;Transmissão;Crítica;1 dia
Jaguar;Focus;2017;Suspenso com rudos;Amortecedores desgastados;Compressor de ar condicionado (A/C) substitudo ou sensor de fluxo do compressor de ar condicionado (A/C) substitudo;517;Suspensão;Média;1 dia
Jaguar;XC60;2015;Falha no sistema de airbags;Circuito do ventilador com defeito impedindo que o ventilador esfrie o motor;Troca da bomba da direo;1830;Sistema de Arrefecimento;Média;4 horas
Chevrolet;3;2012;O motor est funcionando com pouca potncia.;Sistema de admisso de ar restrito  Sistema de exausto restrito  Turbocompressor com falha;Substituio do sensor de oxignio;507;Freios;Média;4 horas
Lexus;Altima;2019;Sem energia, bateria descarregada;Solenide de purga do canister  Conectores de mangueira de borracha evaporativa  Conjunto do monitor de integridade do sistema evaporativo (ESIM)  Tampa do bocal de abastecimento de combustvel  Tanque de combustvel  Gargalo do bocal de abastecimento do tanque de combustvel;Unidade de estgio final de controle do soprador substituda/reparada  bateria substituda/recarregada/programada;1351;Direção;Crítica;4 horas
Hyundai;A4;2019;Ar condicionado não está gelando;Alternador  Alternador/Regulador de voltagem interno com defeito  Fiao do alternador  Caixa de fusveis auxiliares da bateria;Vlvula de controle de tempo de vlvula de escape substituda  leo/filtro do motor substitudo;2206;Motor;Média;1 dia
Hyundai;Cruze;2017;Transmisso com reduo de marcha intermitente em velocidades de rodovia;Motor do atuador da porta de mistura  Eixo da porta de mistura  Fluxo do lquido de arrefecimento  Termostato do lquido de arrefecimento do motor  Ncleo do aquecedor  Cabea de controle do ar condicionado de ventilao do aquecedor (HVAC);Substituição do solenóide/válvula de ventilação do canister de emissões evaporativas (EVAP)  Substituição da válvula de controle de purga do canister  Substituição da bomba de combustível;2061;Suspensão;Média;4 horas
Cadillac;A4;2019;Sem partida  sem fasca;Lista de componentes eltricos mestre;Unidade de estgio final de controle do soprador substituda/reparada  bateria substituda/recarregada/programada;703;Sistema de Escape;Média;4 horas
Ford;Eclipse;2010;Ar condicionado não está gelando;Compressor de ar defeituoso;Reparo no conversor de torque;955;Transmissão;Média;1 dia
Mazda;Camry;2019;Bateria descarregada;Amortecedores desgastados;Reparo na transmisso;441;Sistema de Arrefecimento;Média;3 dias
Lexus;Ram 1500;2018;Tremores do motor;Falha na operao de carga parcial da vlvula de ventilao do crter.;Substituição do solenóide/válvula de ventilação do canister de emissões evaporativas (EVAP)  Substituição da válvula de controle de purga do canister  Substituição da bomba de combustível;1212;Suspensão;Crítica;1 dia
Chevrolet;A4;2012;Sem energia, bateria descarregada;Lista de componentes eltricos mestre;Substituição do solenóide/válvula de ventilação do canister de emissões evaporativas (EVAP)  Substituição da válvula de controle de purga do canister  Substituição da bomba de combustível;1749;Freios;Crítica;2 dias
Infiniti;Ram 1500;2015;Código de advertência de falha de ignição do motor P0352;Alternador  Alternador/Regulador de voltagem interno com defeito  Fiao do alternador  Caixa de fusveis auxiliares da bateria;Bobina(s) de ignição substituída(s)/reparada(s)  Bobina(s) de ignição substituída(s) e vela(s) de ignição substituída(s)/reaprendida(s);1212;Freios;Crítica;1 dia
GMC;Elantra;2019;Sem partida  sem fasca;Circuito do ventilador com defeito impedindo que o ventilador esfrie o motor;Turbocompressor substitudo/reparado  Clipe da alavanca de controle da vlvula de descarga substitudo/reparado/apertado;1911;Transmissão;Média;3 dias
Toyota;Outback;2017;Luz do motor acesa;Compressor de ar condicionado (A/C);Substituio do sensor de airbags;2206;Elétrico;Média;3 dias
Dodge Ram;ES350;2018;Sem partida  sem fasca;Desgaste nas pastilhas de freio;Troca da bateria;1949;Sistema de Arrefecimento;Média;3 dias
Chevrolet;XC60;2021;Bateria no est sendo carregada pelo alternador.;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Fluido de transmisso automtica substitudo/lavado;470;Direção;Média;1 dia
Mazda;Infiniti FX35;2015;Marcha lenta irregular  falha de ignio do motor. Cdigo de advertncia P0014;Falha na caixa de transmisso;Procedimento de aprendizagem do volume de ar em marcha lenta realizado/substitudo  Corpo do acelerador substitudo/limpo  Procedimento de aprendizagem da posio de liberao do pedal do acelerador realizado e Procedimento de aprendizagem do volume de ar em marcha lenta realizado;1512;Freios;Média;1 dia
Mazda;Elantra;2015;Marcha lenta irregular  falha de ignio do motor. Cdigo de advertncia P0014;Bateria com baixa carga;Compressor de ar condicionado (A/C) substituído ou sensor de fluxo do compressor de ar condicionado (A/C) substituído;1190;Direção;Média;1 dia
Cadillac;Eclipse;2019;Sem manivela  No inicia;Circuito do ventilador com defeito impedindo que o ventilador esfrie o motor;Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;700;Motor;Crítica;2 dias
BMW;Santa Fe;2021;Ar condicionado no est gelando;Alternador  Alternador/Regulador de voltagem interno com defeito  Fiao do alternador  Caixa de fusveis auxiliares da bateria;Compressor de ar condicionado (A/C) substituído ou sensor de fluxo do compressor de ar condicionado (A/C) substituído;945;Freios;Média;2 dias
Acura;A4;2019;Luz de verificao do motor em marcha lenta alta;Falha no sensor de airbags;Conjunto do monitor de integridade do sistema evaporativo (ESIM) substitudo/reparado/conectado  Tampa do bocal de abastecimento de combustvel substituda/apertada/reparada;1209;Suspensão;Média;3 dias
GMC;ES350;2010;Luz de verificao do motor em marcha lenta alta;Sistema de admisso de ar restrito  Sistema de exausto restrito  Turbocompressor com falha;Compressor de ar condicionado (A/C) substitudo ou sensor de fluxo do compressor de ar condicionado (A/C) substitudo;1949;Freios;Média;4 horas
Cadillac;F-150;2021;O motor est funcionando com pouca potncia.;A velocidade do motor excedeu 200 RPM acima da velocidade de marcha lenta desejada;Ncleo do aquecedor substitudo/lavado/limpo ou motor do atuador da porta de mistura substitudo/conectado/reiniciado/reparado ou procedimento de lavagem do sistema de arrefecimento realizado;464;Direção;Média;3 dias
Volvo;Eclipse;2021;Sem aquecimento;Radiador entupido;Reparo no conversor de torque;945;Sistema de Escape;Crítica;1 dia
Mazda;F-150;2010;Bateria no est sendo carregada pelo alternador.;Amortecedores desgastados;Procedimento de reinicializao do lembrete de manuteno realizada/redefinida;2050;Sistema de Escape;Crítica;4 horas
Dodge Ram;Elantra;2016;Cdigo de advertncia de falha de ignio do motor P0352;Bateria com baixa carga;Substituição do solenóide/válvula de ventilação do canister de emissões evaporativas (EVAP)  Substituição da válvula de controle de purga do canister  Substituição da bomba de combustível;2084;Freios;Média;3 dias
Chrysler;A3 Quattro;2017;Sem energia, bateria descarregada;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Reparo no conversor de torque;1218;Freios;Média;4 horas
Cadillac;Eclipse;2017;Falha no sistema de airbags;Bomba da direo hidrulica com defeito;Alternador substitudo/reparado  Fiao do alternador reparada/substituda/trocada  Caixa de fusveis auxiliar da bateria substituda/reparada/apertada;2464;Elétrico;Média;4 horas
Jaguar;Accord;2010;Luz de verificao do motor em marcha lenta alta;Tubo de escape com vazamento  sensor de oxignio com defeito.;Substituio do solenide/vlvula de ventilao do canister de emisses evaporativas (EVAP)  Substituio da vlvula de controle de purga do canister  Substituio da bomba de combustvel;1880;Elétrico;Média;2 dias
Acura;ES350;2015;Bateria no est sendo carregada pelo alternador.;Bomba da direo hidrulica com defeito;Compressor de ar condicionado (A/C) substitudo ou sensor de fluxo do compressor de ar condicionado (A/C) substitudo;700;Elétrico;Média;4 horas
Chevrolet;Accord;2010;Código de advertência de falha de ignição do motor P0352;Bateria com baixa carga;Reparo na transmisso;1139;Transmissão;Crítica;4 horas
Kia;A3 Quattro;2012;Bateria descarregada;Compressor de ar condicionado (A/C);Vlvula de ventilao do crter de operao de carga parcial substituda  Vlvula de controle de ventilao do crter reparada/substituda  Tampa da vlvula substituda/resselada  Sistema de ventilao positiva do crter (PCV) reparado/substitudo.;903;Direção;Média;1 dia
Hyundai;RLX;2020;Bateria no est sendo carregada pelo alternador.;Falha no sensor de airbags;Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;1784;Suspensão;Média;4 horas
Mazda;A3 Quattro;2021;Código de advertência de falha de ignição do motor P0352;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Vlvula de ventilao do crter de operao de carga parcial substituda  Vlvula de controle de ventilao do crter reparada/substituda  Tampa da vlvula substituda/resselada  Sistema de ventilao positiva do crter (PCV) reparado/substitudo.;328;Elétrico;Média;1 dia
Volkswagen;Silverado;2016;Sem manivela  No inicia;Sensores de nvel de combustvel;Conjunto do monitor de integridade do sistema evaporativo (ESIM) substitudo/reparado/conectado  Tampa do bocal de abastecimento de combustvel substituda/apertada/reparada;2091;Direção;Média;1 dia
Chrysler;Santa Fe;2015;Cmbio travado;Lista de componentes eltricos mestre;Unidade de estgio final de controle do soprador substituda/reparada  bateria substituda/recarregada/programada;2206;Sistema de Arrefecimento;Crítica;3 dias
Honda;Ram 1500;2020;Marcha lenta irregular  falha de ignio do motor. Cdigo de advertncia P0014;Bomba da direo hidrulica com defeito;Mdulo de controle de transmisso (TCM) substitudo/reparado/apertado/ajustado;1880;Freios;Média;4 horas
Infiniti;Wrangler;2020;Sem energia, bateria descarregada;Falha no conversor de torque;Substituio do compressor de ar;1080;Sistema de Arrefecimento;Média;4 horas
Mazda;Jetta;2012;Suspenso com rudos;Bobina de ignio com falha;Alternador substitudo/reparado  Fiao do alternador reparada/substituda/trocada  Caixa de fusveis auxiliar da bateria substituda/reparada/apertada;1162;Motor;Crítica;4 horas
Chrysler;Cruze;2018;Transmisso com reduo de marcha intermitente em velocidades de rodovia;Fluido de transmisso automtica  Bobina(s) de ignio  Vela(s) de ignio  Pistes do balancim de controle de elevao de tempo varivel (VTEC)  Molas do balancim de controle de elevao de tempo varivel (VTEC);Troca dos amortecedores;863;Motor;Média;1 dia
Volkswagen;C-Class;2017;Cdigo de advertncia P2096.;Lista de componentes eltricos mestre;Substituio do solenide/vlvula de ventilao do canister de emisses evaporativas (EVAP)  Substituio da vlvula de controle de purga do canister  Substituio da bomba de combustvel;2400;Sistema de Escape;Crítica;4 horas
Kia;Ram 1500;2015;Código de advertência de falha de ignição do motor P0352;Sensor de posio do eixo de comando  Sensor de posio do virabrequim;Ncleo do aquecedor substitudo/limpo/consertado/sangrado  Procedimento de lavagem do sistema de arrefecimento;1818;Motor;Média;2 dias
Volkswagen;Silverado;2015;Bateria no est sendo carregada pelo alternador.;Sensor de posio do eixo de comando  Sensor de posio do virabrequim;Procedimento de aprendizagem do volume de ar em marcha lenta realizado/substitudo  Corpo do acelerador substitudo/limpo  Procedimento de aprendizagem da posio de liberao do pedal do acelerador realizado e Procedimento de aprendizagem do volume de ar em marcha lenta realizado;1834;Transmissão;Média;1 dia
Chrysler;XC60;2019;Superaquecimento do motor;Falha no conversor de torque;Procedimento de aprendizagem do volume de ar em marcha lenta realizado/substitudo  Corpo do acelerador substitudo/limpo  Procedimento de aprendizagem da posio de liberao do pedal do acelerador realizado e Procedimento de aprendizagem do volume de ar em marcha lenta realizado;945;Elétrico;Média;4 horas
Dodge Ram;Infiniti FX35;2019;Sem manivela  No inicia;Sensor de oxignio com defeito;Troca dos amortecedores;808;Transmissão;Média;3 dias
Cadillac;A4;2018;Superaquecimento do motor;Motor do atuador da porta de mistura  Eixo da porta de mistura  Fluxo do lquido de arrefecimento  Termostato do lquido de arrefecimento do motor  Ncleo do aquecedor  Cabea de controle do ar condicionado de ventilao do aquecedor (HVAC);Troca da bomba da direo;463;Sistema de Escape;Crítica;1 dia
Audi;Ram 1500;2015;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Vlvula de ventilao do crter de operao de carga parcial substituda  Vlvula de controle de ventilao do crter reparada/substituda  Tampa da vlvula substituda/resselada  Sistema de ventilao positiva do crter (PCV) reparado/substitudo.;749;Transmissão;Média;4 horas
Chevrolet;Ram 1500;2021;Motor superaquecendo;Falha na caixa de transmisso;Turbocompressor substitudo/reparado  Clipe da alavanca de controle da vlvula de descarga substitudo/reparado/apertado;1382;Elétrico;Média;4 horas
Jeep;Escalade;2016;Indicador de nvel de combustvel irregular, medidor de combustvel no funciona;Procedimento de reinicializao do lembrete de manuteno somente para informaes;Unidade de estgio final de controle do soprador substituda/reparada  bateria substituda/recarregada/programada;1652;Sistema de Escape;Média;1 semana
Jeep;Cruze;2012;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Compressor de ar condicionado (A/C);Turbocompressor substitudo/reparado  Clipe da alavanca de controle da vlvula de descarga substitudo/reparado/apertado;2464;Direção;Média;4 horas
BMW;Cruze;2021;Luz do motor acesa;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Procedimento de aprendizagem do volume de ar em marcha lenta realizado/substitudo  Corpo do acelerador substitudo/limpo  Procedimento de aprendizagem da posio de liberao do pedal do acelerador realizado e Procedimento de aprendizagem do volume de ar em marcha lenta realizado;463;Motor;Crítica;4 horas
Volkswagen;Silverado;2021;Sem aquecimento;Passagens de lquido de arrefecimento obstrudas  Termostato de lquido de arrefecimento com defeito  Lquido de arrefecimento do motor contaminado  Ncleo do aquecedor obstrudo  Bomba de gua com defeito;Troca dos amortecedores;463;Suspensão;Crítica;1 dia
Infiniti;Sierra;2016;Bateria descarregada;Desgaste nas pastilhas de freio;Substituiu o motor de arranque ou consertou a emenda J308;1103;Freios;Média;1 semana
Mercedes;Silverado;2010;Transmisso com reduo de marcha intermitente em velocidades de rodovia;Falha no sensor de airbags;Troca dos amortecedores;1086;Motor;Crítica;4 horas
Toyota;3;2010; necessrio redefinir o ciclo de conduo do monitor DTC;A velocidade do motor excedeu 200 RPM acima da velocidade de marcha lenta desejada;Vlvula de controle de tempo de vlvula de escape substituda  leo/filtro do motor substitudo;2497;Suspensão;Média;1 dia
Buick;Silverado;2010;Sem aquecimento;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Procedimento de aprendizagem do volume de ar em marcha lenta realizado/substitudo  Corpo do acelerador substitudo/limpo  Procedimento de aprendizagem da posio de liberao do pedal do acelerador realizado e Procedimento de aprendizagem do volume de ar em marcha lenta realizado;1269;Motor;Média;2 dias
Lexus;F-150;2020;Freios falhando;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Substituio do compressor de ar;1652;Suspensão;Crítica;1 dia
Cadillac;XJ 3.0;2021;Sem partida  sem fasca;Radiador entupido;Procedimento de aprendizagem do volume de ar em marcha lenta realizado/substitudo  Corpo do acelerador substitudo/limpo  Procedimento de aprendizagem da posio de liberao do pedal do acelerador realizado e Procedimento de aprendizagem do volume de ar em marcha lenta realizado;808;Sistema de Escape;Média;3 dias
Jaguar;Altima;2012;Código de advertência de falha de ignição do motor P0352;Falha no conversor de torque;Troca das pastilhas de freio;1529;Sistema de Escape;Média;4 horas
